Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
1; (1.7, 2.1, 1.2); (2.6, -0.1, 1.4); 46.59668; 1.076571; 61.81534; 19.03985
2; (-2.9, 0.0, 0.9); (-2.8, -0.1, 1.1); 3.718944; 2.438818; 69.19156; 8.29105
3; (0.0, 0.0, 3.0); (0.3, -0.1, 3.0); 6.748838; 2.689121; 6.192221; 6.442648
4; (0.4, -2.7, 1.3); (0.6, -0.5, 2.9); 53.02382; 10.17139; 11.67722; 14.78005
5; (2.9, 0.0, 0.9); (2.8, -0.3, 1.0); 6.878771; 6.494018; 69.72684; 8.522231
6; (-1.2, 2.1, 1.7); (-1.9, 0.2, 2.4); 42.16597; 2.881958; 38.28452; 5.787162
7; (0.0, 2.7, 1.4); (0.3, 1.0, 2.8); 44.42293; 18.74493; 5.594573; 3.061381
8; (-1.2, -1.4, 2.4); (-1.4, 1.1, 2.4); 47.9392; 20.8956; 29.11023; 5.039406
9; (2.9, 0.0, 0.9); (2.6, -0.2, 1.5); 11.63376; 3.607358; 60.93232; 2.986593
10; (-1.2, 2.1, 1.7); (-1.7, -0.3, 2.5); 50.99437; 5.965527; 34.08911; 3.12051
11; (0.0, 0.0, 3.0); (0.4, -0.1, 3.0); 8.871192; 2.361483; 8.553534; 6.811117
12; (0.4, -2.7, 1.3); (0.2, -0.4, 3.0); 56.38524; 7.619491; 3.406437; 6.173641
13; (0.0, 2.7, 1.4); (0.2, 1.6, 2.5); 30.43912; 32.71381; 4.817221; 14.47923
14; (1.7, 2.1, 1.2); (1.7, 1.7, 1.9); 14.75891; 33.52911; 41.93528; 9.158794
15; (-1.2, -1.4, 2.4); (-1.0, 1.5, 2.4); 57.89661; 30.70917; 22.12759; 7.758652
16; (-2.9, 0.0, 0.9); (-2.6, 0.5, 1.3); 12.64954; 9.458527; 63.56226; 5.638251
--------Experiment Done------------------
