Iteration number; Actual position; Estimated postion; Error angle
-- amount:2 ,3D:True ,only front:True ,unique sounds:True
3; (0.0, 3.0, 0.0); (-0.3, 2.9, 0.4); 10.65202
3; (0.0, 3.0, 0.0); (0.0, 2.9, 0.8); 15.76053
--------Iteration Done------------------
3; (0.0, 3.0, 0.0); (0.1, 3.0, 0.5); 10.19983
3; (0.0, 3.0, 0.0); (-0.1, 2.9, 0.6); 12.1634
--------Iteration Done------------------
3; (0.0, 3.0, 0.0); (0.0, 2.9, 0.7); 13.47284
3; (0.0, 3.0, 0.0); (0.0, 2.9, 0.7); 13.58754
--------Iteration Done------------------
--------Experiment Done------------------
