reactionTime;closestDist;hit;correct;direction
2.964985;1.663369;0;1;(-1.0, 0.1, 0.2)
2.212143;0.5580562;1;1;(0.9, 0.0, 0.5)
2.296211;2.205156;0;0;(1.0, -0.2, -0.1)
2.514076;1.663361;0;1;(0.7, -0.2, -0.7)
2.261482;3.253897;0;1;(-0.5, -0.2, -0.8)
2.765121;4.000012;0;1;(-0.9, 0.5, 0.1)
2.529999;0.2798414;1;1;(-1.0, 0.0, 0.0)
2.832069;0.8363122;1;1;(1.0, -0.1, -0.2)
2.413025;1.11345;0;1;(-0.8, -0.1, -0.6)
4.072014;0.8363117;1;1;(0.5, 0.1, 0.9)
2.143936;2.205141;0;1;(-0.9, -0.2, 0.5)
3.551941;2.736186;0;1;(0.9, -0.3, -0.3)
2.580002;2.736177;0;0;(0.9, -0.1, 0.5)
3.452087;0.02171004;1;1;(0.4, 0.0, -0.9)
3.317001;4.000008;0;1;(0.9, -0.3, 0.0)
3.201111;0.02188387;1;1;(0.2, 0.0, 1.0)
3.90506;2.736179;0;1;(-0.8, -0.3, 0.5)
3.016098;1.935411;0;1;(0.1, 0.0, -1.0)
3.46907;0.8363147;1;0;(-1.0, -0.1, -0.1)
3.184235;1.935473;0;0;(0.9, 0.2, 0.3)
